State,FIPS,County,Population,Land Area (sq mi),Water Area (sq mi),Total Area (sq mi),Latitude,Longitude,Wind Speed (mph)
AR,5035,Crittenden,"50,902",609.76,26.617,636.377,35.211878,–90.315331,18.34
KY,21055,Crittenden,"9,315",359.952,11.189,371.141,37.358149,–88.105010,16.5
TN,47033,Crockett,"14,586",265.535,0.204,265.739,35.811312,–89.135349,22.83
TX,48105,Crockett,"3,719","2,807.33",0.021,"2,807.35",30.717532,–101.404211,21.46
OR,41013,Crook,"20,978","2,979.09",8.183,"2,987.27",44.163054,–120.371585,15.97
WY,56011,Crook,"7,083","2,854.41",10.888,"2,865.30",44.589266,–104.567298,18.09
TX,48107,Crosby,"6,059",900.198,1.496,901.694,33.609144,–101.298710,18.45
AR,5037,Cross,"17,870",616.381,5.926,622.307,35.291259,–90.773894,17.19
MN,27035,Crow Wing,"62,500",999.095,157.432,"1,156.53",46.491114,–94.071213,16.17
CO,8025,Crowley,"5,823",787.421,12.908,800.329,38.321956,–103.787562,15.04
TX,48109,Culberson,"2,398","3,812.80",0.215,"3,813.01",31.445909,–104.526945,18.61
AL,1043,Cullman,"80,406",734.841,20.18,755.021,34.131923,–86.869267,20.44
VA,51047,Culpeper,"46,689",379.234,3.31,382.544,38.48593,–77.956476,15.92
IL,17035,Cumberland,"11,048",346.024,0.979,347.003,39.273121,–88.240619,13.76
KY,21057,Cumberland,"6,856",305.182,5.726,310.908,36.784227,–85.393499,19.89
ME,23005,Cumberland,"281,674",835.241,382.222,"1,217.46",43.808348,–70.330375,14.05
NJ,34011,Cumberland,"156,898",483.703,193.918,677.621,39.328387,–75.121644,15.79
NC,37051,Cumberland,"319,431",652.315,6.052,658.367,35.050192,–78.828719,15.62
PA,42041,Cumberland,"235,406",545.459,4.843,550.302,40.164782,–77.263440,19.76
TN,47035,Cumberland,"56,053",681.025,3.794,684.819,35.952398,–84.994761,19.76
VA,51049,Cumberland,"10,052",297.461,2.29,299.751,37.520189,–78.252836,19.72
NE,31039,Cuming,"9,139",570.619,4.034,574.653,41.915865,–96.788517,18.08
NC,37053,Currituck,"23,547",261.852,264.74,526.592,36.372174,–75.941224,16.13
NM,35009,Curry,"48,376","1,404.80",3.156,"1,407.95",34.572984,–103.346055,19.67
OR,41015,Curry,"22,364","1,627.46",360.885,"1,988.35",42.466671,–124.211407,20.38
CO,8027,Custer,"4,255",738.625,1.299,739.924,38.101994,–105.373515,20.98
ID,16037,Custer,"4,368","4,920.94",16.366,"4,937.31",44.273341,–114.252251,15.88
MT,30017,Custer,"11,699","3,783.36",9.855,"3,793.22",46.261481,–105.550508,15.86
NE,31041,Custer,"10,939","2,575.52",0.36,"2,575.88",41.393893,–99.726866,21.5
OK,40039,Custer,"27,469",988.817,13.252,"1,002.07",35.645601,–98.997386,17.46
SD,46033,Custer,"8,216","1,557.00",2.117,"1,559.12",43.684943,–103.462250,16.98
OH,39035,Cuyahoga,"1,280,122",457.191,788.396,"1,245.59",41.760392,–81.724217,19.86
GA,13083,Dade,"16,633",173.981,0.179,174.16,34.852424,–85.506201,18
MO,29057,Dade,"7,883",490.012,16.243,506.255,37.43235,–93.854878,19.36
UT,49009,Daggett,"1,059",696.979,23.73,720.709,40.890099,–109.505786,19.12
MN,27037,Dakota,"398,552",562.168,24.699,586.867,44.670893,–93.062481,16.05
NE,31043,Dakota,"21,006",264.255,3.166,267.421,42.390456,–96.562549,16.98
AL,1045,Dale,"50,251",561.15,1.551,562.701,31.430654,–85.609476,15.15
TX,48111,Dallam,"6,703","1,503.26",2.001,"1,505.26",36.28637,–102.594020,14.11
AL,1047,Dallas,"43,820",978.695,15.11,993.805,32.33354,–87.114356,20.04
AR,5039,Dallas,"8,116",667.386,0.72,668.106,33.967823,–92.653999,20.71
IA,19049,Dallas,"66,135",588.447,3.252,591.699,41.685321,–94.040707,14.8
MO,29059,Dallas,"16,777",540.77,2.08,542.85,37.683583,–93.033812,14.63
TX,48113,Dallas,"2,368,139",871.279,37.335,908.614,32.766987,–96.778424,22.16
WI,55025,Dane,"488,073","1,197.24",41.006,"1,238.25",43.067468,–89.417852,21.91
MT,30019,Daniels,"1,751","1,426.11",0.394,"1,426.50",48.794429,–105.541739,18.15
VA,51590,Danville [9],"43,055",42.934,1.014,43.948,36.583334,–79.408071,14.5
NC,37055,Dare,"33,920",383.42,"1,179.14","1,562.56",35.606269,–75.767536,16.12
OH,39037,Darke,"52,959",598.1,1.657,599.757,40.132176,–84.620438,18.52
SC,45031,Darlington,"68,681",561.153,5.652,566.805,34.332185,–79.962116,16.49
PA,42043,Dauphin,"268,100",525.047,33.131,558.178,40.412565,–76.792634,16.35
NC,37057,Davidson,"162,878",552.675,14.343,567.018,35.795123,–80.206525,17.46
TN,47037,Davidson,"626,681",504.033,21.911,525.944,36.169129,–86.784790,20.22
NC,37059,Davie,"41,240",264.105,2.983,267.088,35.929356,–80.542542,19.06
IN,18027,Daviess,"31,648",429.487,7.387,436.874,38.696155,–87.076988,18.28
KY,21059,Daviess,"96,656",458.346,18.228,476.574,37.731671,–87.087139,19.89
MO,29061,Daviess,"8,433",563.24,5.805,569.045,39.962839,–93.970053,19.24
IA,19051,Davis,"8,753",502.188,2.666,504.854,40.748089,–92.410345,22.62
UT,49011,Davis,"306,479",298.778,335.184,633.962,41.037045,–112.202123,20.56
SD,46035,Davison,"19,504",435.555,1.364,436.919,43.680439,–98.155868,15.12
NE,31045,Dawes,"9,182","1,396.46",4.603,"1,401.07",42.711214,–103.134872,25.24
GA,13085,Dawson,"22,330",210.83,3.579,214.409,34.442842,–84.173284,17.18
MT,30021,Dawson,"8,966","2,371.87",11.307,"2,383.17",47.272425,–104.901027,16.3
NE,31047,Dawson,"24,326","1,013.10",6.337,"1,019.43",40.867378,–99.815154,22.19
TX,48115,Dawson,"13,833",900.306,1.823,902.129,32.741934,–101.947322,20.99
SD,46037,Day,"5,710","1,027.87",63.225,"1,091.09",45.362283,–97.593734,16.5
NM,35011,De Baca,"2,022","2,322.62",11.259,"2,333.88",34.351429,–104.401527,20.05
LA,22031,De Soto,"26,656",875.579,19.009,894.588,32.059248,–93.740797,19.45
IL,17039,De Witt,"16,561",397.513,7.571,405.084,40.181499,–88.901853,15.78
TX,48117,Deaf Smith,"19,372","1,496.87",1.516,"1,498.38",34.940766,–102.607564,14.56
IN,18029,Dearborn,"50,047",305.034,2.382,307.416,39.151491,–84.973460,15.37
GA,13087,Decatur,"27,842",597.14,26.028,623.168,30.877961,–84.577744,16.61
IN,18031,Decatur,"25,740",372.568,0.755,373.323,39.30598,–85.499831,14.21
IA,19053,Decatur,"8,457",531.881,1.599,533.48,40.736379,–93.784580,17.09
KS,20039,Decatur,"2,961",893.517,0.63,894.147,39.783542,–100.459708,17.3
TN,47039,Decatur,"11,757",333.845,11.038,344.883,35.603422,–88.107384,21.36
MT,30023,Deer Lodge,"9,298",736.53,4.671,741.201,46.099059,–113.139108,17.69
OH,39039,Defiance,"39,037",411.46,2.73,414.19,41.321679,–84.486433,20.57
AL,1049,DeKalb,"71,109",777.093,1.592,778.685,34.460929,–85.803992,16.94
GA,13089,DeKalb,"691,893",267.582,3.56,271.142,33.770661,–84.226343,14.26
IL,17037,DeKalb,"105,160",631.307,3.353,634.66,41.894613,–88.768991,17.98
IN,18033,DeKalb,"42,223",362.824,1.026,363.85,41.401189,–85.000185,17.43
MO,29063,DeKalb,"12,892",421.356,4.465,425.821,39.894665,–94.407190,17.48
TN,47041,DeKalb,"18,723",304.347,24.64,328.987,35.98222,–85.833596,13.93
CA,6015,Del Norte,"28,610","1,006.37",223.37,"1,229.74",41.749903,–123.980998,17.29
IN,18035,Delaware,"117,671",392.124,3.785,395.909,40.227165,–85.398856,16.5
IA,19055,Delaware,"17,764",577.756,1.19,578.946,42.473003,–91.359443,19.03
NY,36025,Delaware,"47,980","1,442.44",25.006,"1,467.45",42.193987,–74.966728,15.01
OH,39041,Delaware,"174,214",443.098,14.231,457.329,40.278941,–83.007462,13.81
OK,40041,Delaware,"41,487",738.177,54.134,792.311,36.393369,–94.808206,11.49
PA,42045,Delaware,"558,979",183.843,6.76,190.603,39.91667,–75.398786,17.85
CO,8029,Delta,"30,952","1,142.05",6.549,"1,148.60",38.861756,–107.864757,18.49
MI,26041,Delta,"37,069","1,171.10",820.228,"1,991.32",45.805101,–86.901373,17.34
TX,48119,Delta,"5,231",256.825,21.107,277.932,33.385933,–95.673350,19.94
AK,2068,Denali,"1,826","12,751.41",25.509,"12,776.92",63.682732,–150.026719,22.89
MO,29065,Dent,"15,657",752.79,1.716,754.506,37.60325,–91.495916,15.74
TX,48121,Denton,"662,614",878.432,74.545,952.977,33.205005,–97.119046,18.53
CO,8031,Denver,"600,158",153,1.631,154.631,39.761849,–104.880625,17.27
IA,19057,Des Moines,"40,325",416.123,13.627,429.75,40.915339,–91.186925,20.97
OR,41017,Deschutes,"157,733","3,018.19",36.582,"3,054.77",43.915118,–121.225575,15.86
AR,5041,Desha,"13,008",768.152,51.374,819.526,33.828748,–91.244427,20.42
FL,12027,DeSoto,"34,862",637.059,2.423,639.482,27.190581,–81.806253,27.16
MS,28033,DeSoto,"161,252",476.145,20.866,497.011,34.874266,–89.993240,21.53
NE,31049,Deuel,"1,941",439.851,0.861,440.712,41.112988,–102.332604,15.86
SD,46039,Deuel,"4,364",622.686,13.927,636.613,44.75629,–96.690239,22.57
OK,40043,Dewey,"4,810",999.476,8.76,"1,008.24",35.978433,–99.014094,20.66
SD,46041,Dewey,"5,301","2,302.49",142.789,"2,445.28",45.150005,–100.852218,15.87
TX,48123,DeWitt,"20,097",908.975,1.514,910.489,29.082342,–97.361656,15.61
TX,48125,Dickens,"2,444",901.724,3.497,905.221,33.614666,–100.786095,18.63
VA,51051,Dickenson,"15,903",330.532,3.13,333.662,37.137081,–82.349208,17.67
ND,38021,Dickey,"5,289","1,131.47",10.66,"1,142.13",46.107756,–98.496518,16.85
IA,19059,Dickinson,"16,667",380.606,23.356,403.962,43.389611,–95.196057,20.44
KS,20041,Dickinson,"19,754",847.072,4.878,851.95,38.867735,–97.157943,18.02
MI,26043,Dickinson,"26,168",761.4,15.65,777.05,46.012823,–87.866119,22.39
TN,47043,Dickson,"49,666",489.896,1.424,491.32,36.145533,–87.364155,25.01
AK,2070,Dillingham [4],"4,847","18,568.78","2,346.43","20,915.21",59.824816,–158.602233,15.14
SC,45033,Dillon,"32,062",404.872,1.72,406.592,34.390172,–79.374964,15.07
TX,48127,Dimmit,"9,996","1,328.88",5.628,"1,334.51",28.423587,–99.765871,33.03
VA,51053,Dinwiddie,"28,001",503.716,3.476,507.192,37.073498,–77.635492,20.74
DC,11001,District of Columbia [7],"601,723",61.048,7.292,68.34,38.904149,–77.017094,12.7
ND,38023,Divide,"2,071","1,260.79",33.443,"1,294.23",48.818142,–103.497653,20.38
FL,12029,Dixie,"16,422",705.053,158.597,863.65,29.580899,–83.195666,19.25
NE,31051,Dixon,"6,000",476.232,6.669,482.901,42.48528,–96.855862,16.41
WV,54017,Doddridge,"8,202",319.72,0.756,320.476,39.263482,–80.701147,17.22
GA,13091,Dodge,"21,796",495.89,7.224,503.114,32.160656,–83.156818,17.17
MN,27039,Dodge,"20,087",439.276,0.309,439.585,44.020706,–92.869353,17.02
NE,31053,Dodge,"36,691",528.706,14.294,543,41.577008,–96.645853,21.23
WI,55027,Dodge,"88,759",875.625,31.429,907.054,43.422706,–88.704379,20.28
CO,8033,Dolores,"2,064","1,067.05",1.049,"1,068.10",37.747602,–108.530383,15.56
NM,35013,Dona Ana,"209,233","3,807.51",6.869,"3,814.38",32.350912,–106.832182,16.01
KS,20043,Doniphan,"7,945",393.405,4.871,398.276,39.788502,–95.147225,17.13
TX,48129,Donley,"3,677",926.886,6.16,933.046,34.955036,–100.815846,19.66
GA,13093,Dooly,"14,918",391.94,5.344,397.284,32.151995,–83.807167,13.19
WI,55029,Door,"27,785",481.978,"1,888.27","2,370.25",45.067808,–87.087936,11.65
MD,24019,Dorchester,"32,618",540.765,442.239,983.004,38.429196,–76.047433,17.33
SC,45035,Dorchester,"136,555",573.233,2.573,575.806,33.082186,–80.404697,21.46
GA,13095,Dougherty,"94,565",328.689,5.944,334.633,31.535068,–84.214444,14.98
CO,8035,Douglas,"285,465",840.248,2.621,842.869,39.326435,–104.926199,19.26
GA,13097,Douglas,"132,403",200.067,0.959,201.026,33.699317,–84.765944,17.83
IL,17041,Douglas,"19,980",416.665,0.559,417.224,39.766078,–88.222866,19.54
KS,20045,Douglas,"110,826",455.871,18.766,474.637,38.896573,–95.290529,17.98
MN,27041,Douglas,"36,009",637.3,82.705,720.005,45.936429,–95.460610,17
MO,29067,Douglas,"13,684",813.632,0.965,814.597,36.946517,–92.515892,16.2
NE,31055,Douglas,"517,110",328.455,10.892,339.347,41.297091,–96.154066,14.56
NV,32005,Douglas,"46,997",709.719,27.922,737.641,38.905129,–119.609019,20.38
OR,41019,Douglas,"107,667","5,036.08",97.692,"5,133.77",43.285904,–123.154380,20.03
SD,46043,Douglas,"3,002",431.802,1.866,433.668,43.391506,–98.358433,16.09
WA,53017,Douglas,"38,431","1,819.26",29.391,"1,848.66",47.735866,–119.695880,15.68
WI,55031,Douglas,"44,159","1,304.14",175.54,"1,479.68",46.463316,–91.892580,18.48
AR,5043,Drew,"18,509",828.356,7.305,835.661,33.587242,–91.722778,18.64
IN,18037,Dubois,"41,889",427.269,8.064,435.333,38.373344,–86.873385,16.53
IA,19061,Dubuque,"93,653",608.305,8.328,616.633,42.463481,–90.878771,19.19
UT,49013,Duchesne,"18,607","3,240.95",14.976,"3,255.92",40.289649,–110.429830,23.39
MA,25007,Dukes,"16,535",103.245,387.716,490.961,41.380939,–70.701536,17.14
NE,31057,Dundy,"2,008",919.678,1.176,920.854,40.180165,–101.681133,18.33
MO,29069,Dunklin,"31,953",541.069,6.115,547.184,36.153025,–90.062254,16.62
ND,38025,Dunn,"3,536","2,008.46",73.583,"2,082.04",47.35461,–102.612365,16.83
WI,55033,Dunn,"43,857",850.105,13.76,863.865,44.947741,–91.897720,17.84
IL,17043,DuPage,"916,924",327.499,8.913,336.412,41.852058,–88.086038,18.72
NC,37061,Duplin,"58,505",816.219,5.455,821.674,34.934403,–77.933543,11.62
NC,37063,Durham,"267,587",285.975,11.891,297.866,36.036589,–78.877919,9.65
NY,36027,Dutchess,"297,488",795.63,29.718,825.348,41.755009,–73.739951,15.02
FL,12031,Duval,"864,263",762.192,156.26,918.452,30.335245,–81.648113,15.43
TX,48131,Duval,"11,782","1,793.48",2.115,"1,795.60",27.681123,–98.497393,20.23
TN,47045,Dyer,"38,335",512.327,14.201,526.528,36.054196,–89.398306,15.65
CO,8037,Eagle,"52,197","1,684.53",7.261,"1,691.79",39.630638,–106.692944,12.27
GA,13099,Early,"11,008",512.594,3.752,516.346,31.324191,–84.906723,16.38
LA,22033,East Baton Rouge,"440,171",455.374,14.861,470.235,30.544002,–91.093174,13.67
LA,22035,East Carroll,"7,759",420.704,21.728,442.432,32.73017,–91.234141,17.21
LA,22037,East Feliciana,"20,267",453.41,2.368,455.778,30.839784,–91.043434,20.76
TX,48133,Eastland,"18,583",926.491,5.424,931.915,32.324645,–98.836560,16.14
MI,26045,Eaton,"107,759",575.175,4.258,579.433,42.589614,–84.846524,16.89
WI,55035,Eau Claire,"98,736",637.983,7.263,645.246,44.726355,–91.286414,12.71
GA,13101,Echols,"4,034",414.894,5.825,420.719,30.7085,–82.836132,18.07
TX,48135,Ector,"137,130",897.687,4.092,901.779,31.865301,–102.542507,18.18
NM,35015,Eddy,"53,829","4,175.73",21.796,"4,197.52",32.457858,–104.306471,18.51
ND,38027,Eddy,"2,385",630.171,13.944,644.115,47.723436,–98.900475,15.88
IL,17045,Edgar,"18,576",623.374,0.622,623.996,39.679037,–87.747110,16.89
NC,37065,Edgecombe,"56,552",505.336,1.314,506.65,35.917055,–77.602655,15.94
SC,45037,Edgefield,"26,985",500.406,6.294,506.7,33.776498,–81.968245,24.52
KY,21061,Edmonson,"12,161",302.883,5.121,308.004,37.227856,–86.217778,17.54
SD,46045,Edmunds,"4,071","1,125.96",25.111,"1,151.07",45.41168,–99.205362,25.04
IL,17047,Edwards,"6,721",222.416,0.305,222.721,38.417095,–88.047941,17.55
KS,20047,Edwards,"3,037",621.894,0.081,621.975,37.883595,–99.304746,10.92
TX,48137,Edwards,"2,002","2,117.86",2.008,"2,119.87",29.985877,–100.307373,19.48
GA,13103,Effingham,"52,250",477.7,5.231,482.931,32.361711,–81.343337,16.35
IL,17049,Effingham,"34,242",478.777,1.229,480.006,39.047694,–88.592786,20.63
CA,6017,El Dorado,"181,058","1,707.88",78.473,"1,786.36",38.785532,–120.534398,21.02
CO,8041,El Paso,"622,263","2,126.80",2.746,"2,129.55",38.827383,–104.527472,19.34
TX,48141,El Paso,"800,647","1,012.69",2.267,"1,014.96",31.766403,–106.241391,15.9
CO,8039,Elbert,"23,086","1,850.85",0.171,"1,851.02",39.310817,–104.117928,18.51
GA,13105,Elbert,"20,166",351.055,23.161,374.216,34.115017,–82.842057,19.01
KS,20049,Elk,"2,882",644.265,6.201,650.466,37.456026,–96.244642,20.9
PA,42047,Elk,"31,946",827.358,4.949,832.307,41.427334,–78.653938,19.76
IN,18039,Elkhart,"197,559",463.17,4.8,467.97,41.600693,–85.863986,16.96
NV,32007,Elko,"48,818","17,169.83",33.112,"17,202.95",41.141133,–115.351424,26.08
KY,21063,Elliott,"7,852",234.315,1.008,235.323,38.116425,–83.097541,14.01
KS,20051,Ellis,"28,452",899.912,0.462,900.374,38.914596,–99.317329,15.61
OK,40045,Ellis,"4,151","1,231.52",0.368,"1,231.88",36.224258,–99.750139,20.51
TX,48139,Ellis,"149,610",935.487,16.261,951.748,32.347279,–96.798336,15.67
KS,20053,Ellsworth,"6,497",715.847,7.44,723.287,38.700845,–98.205355,23.3
AL,1051,Elmore,"79,303",618.485,38.557,657.042,32.597229,–86.142739,15.09
ID,16039,Elmore,"27,038","3,074.74",26.017,"3,100.76",43.394826,–115.470751,19.74
GA,13107,Emanuel,"22,598",680.604,9.578,690.182,32.5911,–82.299763,17.95
UT,49015,Emery,"10,976","4,462.31",9.495,"4,471.81",39.009028,–110.721111,18.61
IA,19063,Emmet,"10,302",395.883,6.64,402.523,43.377984,–94.669370,17.91
MI,26047,Emmet,"32,694",467.494,414.503,881.997,45.590094,–84.986822,16.64
ND,38029,Emmons,"3,550","1,510.44",44.587,"1,555.02",46.284255,–100.237842,16.13
VA,51595,Emporia [9],"5,927",6.894,0.074,6.968,36.696182,–77.535975,18.58
TX,48143,Erath,"37,890","1,083.07",6.736,"1,089.81",32.238136,–98.222377,18.26
NY,36029,Erie,"919,040","1,042.69",184.161,"1,226.85",42.752759,–78.778192,14.81
OH,39043,Erie,"77,079",251.558,374.429,625.987,41.554006,–82.525897,14.54
PA,42049,Erie,"280,566",799.154,759.077,"1,558.23",42.117952,–80.096386,20.43
AL,1053,Escambia,"38,319",945.08,8.059,953.139,31.121748,–87.168429,18.04
FL,12033,Escambia,"297,619",656.461,218.243,874.704,30.611664,–87.339040,11.53
NV,32009,Esmeralda,783,"3,581.88",7.163,"3,589.04",37.778966,–117.632382,15.15
MA,25009,Essex,"743,159",492.563,335.911,828.474,42.642711,–70.865107,20.2
NJ,34013,Essex,"783,969",126.212,3.419,129.631,40.787217,–74.246136,15.21
NY,36031,Essex,"39,370","1,794.23",122,"1,916.23",44.108971,–73.777573,15.07
VT,50009,Essex,"6,306",663.598,11.696,675.294,44.724021,–71.732736,16.18
VA,51057,Essex,"11,151",257.123,28.878,286.001,37.93948,–76.941871,13.11
KY,21065,Estill,"14,672",253.078,2.532,255.61,37.69246,–83.963927,14.49
AL,1055,Etowah,"104,430",534.991,13.638,548.629,34.047638,–86.034420,12.69
NV,32011,Eureka,"1,987","4,175.68",4.279,"4,179.96",39.977788,–116.272208,18.32
LA,22039,Evangeline,"33,984",662.378,17.246,679.624,30.720693,–92.404086,28.12
GA,13109,Evans,"11,000",182.853,4.017,186.87,32.151902,–81.887618,27.22
AK,2090,Fairbanks North Star,"97,581","7,338.21",105.479,"7,443.69",64.690832,–146.599867,14.97
VA,51059,Fairfax,"1,081,726",390.969,15.277,406.246,38.833743,–77.276117,14.64
VA,51600,Fairfax [9],"22,565",6.239,0.037,6.276,38.853183,–77.299025,13.62
OH,39045,Fairfield,"146,156",504.411,4.15,508.561,39.752935,–82.628276,21.25
SC,45039,Fairfield,"23,956",686.277,23.604,709.881,34.395669,–81.127001,23.42
CT,9001,Fairfield [6],"916,829",624.89,212.033,836.923,41.228103,–73.366757,29.86
SD,46047,Fall River,"7,094","1,739.92",9.232,"1,749.15",43.221504,–103.512102,16.79
MT,30025,Fallon,"2,890","1,620.77",2.284,"1,623.06",46.318184,–104.405718,16.24
TX,48145,Falls,"17,866",765.483,8.358,773.841,31.25193,–96.934128,15.06
VA,51610,Falls Church [9],"12,332",1.999,-,1.999,38.883787,–77.174639,19.1
GA,13111,Fannin,"23,682",386.723,5.237,391.96,34.863837,–84.319287,25.22
TX,48147,Fannin,"33,915",890.837,8.047,898.884,33.591161,–96.104988,16.63
MN,27043,Faribault,"14,553",712.476,9.429,721.905,43.676522,–93.947234,19.25
SD,46049,Faulk,"2,364",981.75,24.21,"1,005.96",45.065476,–99.153564,15.04
AR,5045,Faulkner,"113,237",647.884,16.188,664.072,35.146356,–92.324654,15.74
VA,51061,Fauquier,"65,203",647.449,3.776,651.225,38.744103,–77.821585,16.41
AL,1057,Fayette,"17,241",627.66,1.696,629.356,33.732249,–87.752049,18.85
GA,13113,Fayette,"106,567",194.342,4.979,199.321,33.412717,–84.493941,16.72
IL,17051,Fayette,"22,140",716.482,8.861,725.343,39.001125,–89.017923,16.53
IN,18041,Fayette,"24,277",215.014,0.148,215.162,39.639655,–85.185032,18.84
IA,19065,Fayette,"20,880",730.811,0.515,731.326,42.86445,–91.839373,17.77
KY,21067,Fayette,"295,803",283.649,1.901,285.55,38.040157,–84.458443,19.96
OH,39047,Fayette,"29,030",406.357,0.658,407.015,39.553845,–83.459327,14.8
PA,42051,Fayette,"136,606",790.339,7.971,798.31,39.914115,–79.644586,20.12
TN,47047,Fayette,"38,413",704.786,1.453,706.239,35.196993,–89.413803,15.06
TX,48149,Fayette,"24,554",950.008,9.8,959.808,29.877886,–96.921231,24.06
WV,54019,Fayette,"46,039",661.55,6.798,668.348,38.030933,–81.086051,20.62
TN,47049,Fentress,"17,959",498.612,0.32,498.932,36.376079,–84.932703,17.23
MT,30027,Fergus,"11,586","4,339.80",10.611,"4,350.41",47.222997,–109.223280,18.61
WA,53019,Ferry,"7,551","2,203.16",54.163,"2,257.32",48.437246,–118.517074,19.94
MN,27045,Fillmore,"20,866",861.3,0.79,862.09,43.67727,–92.093681,18.65
NE,31059,Fillmore,"5,890",575.371,1.154,576.525,40.52504,–97.596705,15.54
KS,20055,Finney,"36,776","1,301.97",0.705,"1,302.67",38.049855,–100.739929,18.85
TX,48151,Fisher,"3,974",898.941,2.812,901.753,32.740473,–100.403120,16.79
FL,12035,Flagler,"95,696",485.461,85.364,570.825,29.474894,–81.286362,18.09
MT,30029,Flathead,"90,928","5,087.66",168.779,"5,256.44",48.314696,–114.054319,18.79
KY,21069,Fleming,"14,348",348.542,2.774,351.316,38.368431,–83.706152,16.31
SC,45041,Florence,"136,885",799.964,3.761,803.725,34.028535,–79.710233,14.97
WI,55037,Florence,"4,423",488.195,9.328,497.523,45.849646,–88.400322,16.02
GA,13115,Floyd,"96,317",509.911,8.555,518.466,34.263677,–85.213730,15.64
IN,18043,Floyd,"74,578",147.935,1.023,148.958,38.317937,–85.911474,15.3
IA,19067,Floyd,"16,303",500.632,0.75,501.382,43.052741,–92.787367,17.59
KY,21071,Floyd,"39,451",393.345,2.361,395.706,37.558283,–82.740337,20.53
TX,48153,Floyd,"6,446",992.143,0.38,992.523,34.073731,–101.303274,16.08
VA,51063,Floyd,"15,279",380.42,0.872,381.292,36.931438,–80.350309,19.17
VA,51065,Fluvanna,"25,691",286.005,4.143,290.148,37.830606,–78.284445,18.37
TX,48155,Foard,"1,336",704.397,3.288,707.685,33.980404,–99.777427,18.32
WI,55039,Fond du Lac,"101,633",719.553,46.287,765.84,43.754722,–88.493284,20.52
IL,17053,Ford,"14,081",485.616,0.626,486.242,40.594423,–88.224746,21.92
KS,20057,Ford,"33,848","1,098.27",0.81,"1,099.08",37.688365,–99.884734,13.68
PA,42053,Forest,"7,716",427.185,3.311,430.496,41.513304,–79.249705,14.8
WI,55041,Forest,"9,304","1,014.07",32.259,"1,046.33",45.666882,–88.773225,17.29
MS,28035,Forrest,"74,934",466.314,3.919,470.233,31.18858,–89.259447,12.52
GA,13117,Forsyth,"175,511",224.021,23.145,247.166,34.225143,–84.127336,18.04
NC,37067,Forsyth,"350,670",408.148,4.549,412.697,36.131667,–80.257289,17.16
TX,48157,Fort Bend,"585,375",861.481,23.86,885.341,29.526602,–95.771015,15.37
ND,38031,Foster,"3,343",635.453,11.371,646.824,47.464327,–98.872817,13.96
IN,18045,Fountain,"17,240",395.656,2.224,397.88,40.121282,–87.234806,14.58
AL,1059,Franklin,"31,704",633.821,12.702,646.523,34.441988,–87.842815,14
AR,5047,Franklin,"18,125",608.857,10.785,619.642,35.508573,–93.887672,14.84
FL,12037,Franklin,"11,549",534.725,491.769,"1,026.49",29.810176,–84.799174,18.92
GA,13119,Franklin,"22,084",261.497,4.955,266.452,34.375155,–83.227291,16.58
ID,16041,Franklin,"12,786",663.645,4.699,668.344,42.173589,–111.822955,18.95
IL,17055,Franklin,"39,561",408.889,22.555,431.444,37.991848,–88.926246,16.88
IN,18047,Franklin,"23,087",384.43,6.62,391.05,39.409762,–85.066964,17.09
IA,19069,Franklin,"10,680",581.972,0.552,582.524,42.736549,–93.271425,15.21
KS,20059,Franklin,"25,992",571.756,5.381,577.137,38.558019,–95.278962,17.13
KY,21073,Franklin,"49,285",207.747,4.262,212.009,38.234919,–84.868786,22.54
LA,22041,Franklin,"20,767",624.585,10.853,635.438,32.138279,–91.672101,18.66
ME,23007,Franklin,"30,768","1,696.61",46.87,"1,743.48",44.973012,–70.444727,23.99
MA,25011,Franklin,"71,372",699.319,25.255,724.574,42.583791,–72.591655,16.36
MS,28037,Franklin,"8,118",563.779,2.984,566.763,31.477798,–90.895884,15.41
MO,29071,Franklin,"101,492",922.681,8.004,930.685,38.408313,–91.073410,18.71
NE,31061,Franklin,"3,225",575.816,0.188,576.004,40.183203,–98.962080,12.15
NY,36033,Franklin,"51,599","1,629.12",68.353,"1,697.47",44.594374,–74.310670,15.18
NC,37069,Franklin,"60,619",491.682,2.816,494.498,36.088241,–78.283090,15.25
OH,39049,Franklin,"1,163,414",532.188,11.32,543.508,39.969447,–83.008258,16.77
PA,42055,Franklin,"149,618",772.224,0.597,772.821,39.926686,–77.724485,17.56
TN,47051,Franklin,"41,052",554.542,21.193,575.735,35.155926,–86.099203,19.75
TX,48159,Franklin,"10,605",284.391,10.377,294.768,33.175846,–95.219066,15.41
VT,50011,Franklin,"47,746",633.706,58.276,691.982,44.858964,–72.909402,21.92
VA,51067,Franklin,"56,159",690.426,21.122,711.548,36.99235,–79.883959,21.32
WA,53021,Franklin,"78,163","1,242.17",23.241,"1,265.41",46.53458,–118.906944,19.88
VA,51620,Franklin [9],"8,582",8.206,0.143,8.349,36.684014,–76.941396,19.39
MD,24021,Frederick,"233,385",660.221,7.157,667.378,39.470427,–77.397627,18.27
VA,51069,Frederick,"78,305",413.496,2.011,415.507,39.203637,–78.263916,16.15
VA,51630,Fredericksburg [9],"24,286",10.44,0.07,10.51,38.299272,–77.486658,22.4
MN,27047,Freeborn,"31,255",707.087,15.334,722.421,43.674202,–93.350289,15.31
